Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
WC,Y02,control,1347.59,1597.4,1246.35,1127.04,1539.43,1404.32
WCn,Y02,control,0.939244194,0.941829888,0.946060831,0.947490542,0.943740804,0.939904023
dGP,Y02,salt,890074,920769,749130,813040,874011,954435
GPF,Y02,salt,1183480,1182854,987724,1045623,1217930,1271413
GPI,Y02,salt,293406,262085,238594,232583,343919,316978
L4A,Y02,salt,5.2092,4.7994,4.7838,5.6177,5.5889,5.7141
L4DM,Y02,salt,6.25,6.52,6.03,6.69,8.66,7.56
L4FM,Y02,salt,65.98,66.57,62.24,75.07,73.83,83.5
LeafElongationFactor,Y02,salt,0.6701,0.6561,0.7199,0.7205,0.6799,0.7257
LeafHorizWidth,Y02,salt,2.5854,2.3983,2.7044,2.7555,2.7385,2.9596
LeafPerimeter,Y02,salt,16.9744,15.1488,14.7021,16.1199,15.9645,17.0327
LeafSucculence,Y02,salt,11.46625202,12.51198066,11.75007316,12.17224131,11.660613,13.28993192
LeafVertLength,Y02,salt,3.8583,3.6552,3.7568,3.8245,4.0275,4.0783
LK,Y02,salt,54.16038841,63.61365529,51.8590998,42.7756654,55.7771981,47.60337108
LNa,Y02,salt,215.9718734,240.0499584,227.3616794,241.9567125,206.2298604,214.7089808
RDM,Y02,salt,7.13,7.29,7.36,6.89,NA,6.81
RFM,Y02,salt,116.05,105.2,108.96,95.71,113.19,95.2
RK,Y02,salt,43.74770474,50.1991625,45.91535433,55.50551678,52.91535452,53.39970585
RL,Y02,salt,10.6,12.2,14,13.8,11.1,13.2
RNa,Y02,salt,199.6878443,195.0771116,201.5255906,211.9455078,187.9950377,211.5623939
SDM,Y02,salt,37.38,34.57,33.95,34.65,41.66,37.6
SFM,Y02,salt,659.3,609.32,636.71,651.4,717.04,682.53
SL,Y02,salt,4,4,3.7,3.4,3.9,3.1
ST,Y02,salt,2.05,NA,2.14,2.1,2.15,2.18
TDM,Y02,salt,50.76,48.38,47.34,48.23,NA,51.97
TFM,Y02,salt,775.35,714.52,745.67,747.11,NA,777.73
WC,Y02,salt,724.59,666.14,698.33,698.88,NA,725.76
WCn,Y02,salt,0.934532792,0.932290209,0.936513471,0.93544458,0.929272611,0.933177324
dGP,Y02,T0,NA,NA,NA,NA,NA,NA
GPF,Y02,T0,NA,NA,NA,NA,NA,NA
GPI,Y02,T0,168257,195638,201901,239718,250125,209013
L4A,Y02,T0,NA,NA,NA,NA,NA,NA
L4DM,Y02,T0,NA,NA,NA,NA,NA,NA
L4FM,Y02,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y02,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y02,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y02,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y02,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y02,T0,NA,NA,NA,NA,NA,NA
LK,Y02,T0,NA,NA,NA,NA,NA,NA
LNa,Y02,T0,NA,NA,NA,NA,NA,NA
RDM,Y02,T0,0.72,0.88,1.03,0.92,1.02,1.01
RFM,Y02,T0,16.78,18.84,21.04,20.85,20.89,22.15
RK,Y02,T0,NA,NA,NA,NA,NA,NA
RL,Y02,T0,8.5,9.2,9.4,9.8,9.6,NA
RNa,Y02,T0,NA,NA,NA,NA,NA,NA
SDM,Y02,T0,5.36,5.59,6.04,6.73,7.49,7.28
SFM,Y02,T0,78.53,83.39,89.15,95.28,108.26,107.46
SL,Y02,T0,2.2,2.4,2.5,2.5,2.8,3.2
ST,Y02,T0,0.79,0.79,0.78,0.79,0.82,0.84
TDM,Y02,T0,6.08,6.47,7.07,7.65,8.51,8.29
TFM,Y02,T0,95.31,102.23,110.19,116.13,129.15,129.61
WC,Y02,T0,89.23,95.76,103.12,108.48,120.64,121.32
WCn,Y02,T0,0.936208163,0.936711337,0.935838098,0.934125549,0.934107627,0.936038886
dGP,Y03,control,3167110,1717915,3360693,2391707,2281568,1951396
GPF,Y03,control,3391000,1916283,3559251,2603964,2460221,2232121
GPI,Y03,control,223890,198368,198558,212257,178653,NA
L4A,Y03,control,22.1961,18.8877,16.3758,18.3823,21.058,13.9205
L4DM,Y03,control,22.38,15.19,14.17,23.53,NA,13.79
L4FM,Y03,control,249.84,176.18,207.07,195.41,195.57,129.94
LeafElongationFactor,Y03,control,0.6436,0.6057,0.5825,0.647,0.5841,0.5925
LeafHorizWidth,Y03,control,5.7831,5.3919,5.3919,5.8681,5.664,NA
LeafPerimeter,Y03,control,63.1005,57.7402,52.4964,52.7489,63.6055,47.9518
LeafSucculence,Y03,control,10.24774623,8.523536481,11.77957718,9.350298929,6.787444202,8.34380949
LeafVertLength,Y03,control,8.9858,8.9012,9.2566,9.0704,9.6965,NA
LK,Y03,control,126.176031,110.5658737,NA,116.651152,129.7838103,151.5281963
LNa,Y03,control,7.693660424,10.18696813,8.113011923,12.07237608,10.91443364,12.699096
RDM,Y03,control,10.93,6.35,9.42,8.54,6.56,12.17
RFM,Y03,control,339.28,201.71,298.19,324.46,217.06,256.33
RK,Y03,control,64.10842089,51.44348894,38.26574783,52.22841226,36.34204276,48.12418087
RL,Y03,control,NA,17.2,22.6,17.4,21,15.5
RNa,Y03,control,5.146946855,6.193693694,7.531945839,8.451506711,7.197149644,NA
SDM,Y03,control,86.44,64.42,74.23,73.75,NA,73.41
SFM,Y03,control,1247.01,NA,1433.29,1389.97,1252.05,1362.79
SL,Y03,control,7.5,7.2,6.8,7.5,7.2,7.5
ST,Y03,control,2.23,2.5,2.53,2.5,2.2,2.21
TDM,Y03,control,119.75,85.96,97.82,105.82,72.96,99.37
TFM,Y03,control,1586.29,1194.02,1731.48,1714.43,1469.11,1619.12
WC,Y03,control,1466.54,1108.06,1633.66,1608.61,1396.15,1519.75
WCn,Y03,control,0.92450939,0.928007906,0.943504978,0.938276862,0.950337279,0.938627155
dGP,Y03,salt,682816,489090,751421,809793,906833,1172113
GPF,Y03,salt,911611,770614,976624,1046014,1136668,1401510
GPI,Y03,salt,228795,NA,225203,236221,229835,229397
L4A,Y03,salt,NA,5.6545,5.2184,5.7023,5.6772,NA
L4DM,Y03,salt,3.73,5.57,4.5,4.4,4.96,6.08
L4FM,Y03,salt,45.59,70.32,54.79,53.22,58.7,72.57
LeafElongationFactor,Y03,salt,0.5979,0.5955,0.664,0.6841,0.682,0.6761
LeafHorizWidth,Y03,salt,2.7725,2.9426,3.1127,3.0446,2.9085,3.1807
LeafPerimeter,Y03,salt,19.5963,22.8203,21.1889,22.8591,21.5385,22.3348
LeafSucculence,Y03,salt,10.67612028,11.45105668,9.637053503,8.561457657,9.465933911,9.795659796
LeafVertLength,Y03,salt,4.6367,4.9413,4.6875,4.4506,4.2644,4.7044
LK,Y03,salt,65.45628285,43.86100386,44.44223504,63.90823433,48.38109416,36.09565348
LNa,Y03,salt,211.6579073,220.0772201,233.2471664,255.6329373,218.8314105,NA
RDM,Y03,salt,6.65,5.83,4.31,5.82,4.74,NA
RFM,Y03,salt,87.37,98,47.89,68.04,70.99,123.08
RK,Y03,salt,40.69623389,63.03569491,69.64203763,61.55576985,56.0754717,46.60151044
RL,Y03,salt,13.5,21,11,16,12.5,14.1
RNa,Y03,salt,NA,184.9842682,212.8269849,205.7216329,196.6037736,179.697912
SDM,Y03,salt,31.02,32.38,26.7,31.02,28.12,32.05
SFM,Y03,salt,474.44,530.99,450.98,552.64,483.38,585.16
SL,Y03,salt,5.4,5.6,4.5,6,5,5.4
ST,Y03,salt,1.64,1.62,0.66,0.38,1.39,1.44
TDM,Y03,salt,41.4,43.78,35.51,41.24,37.82,48.66
TFM,Y03,salt,561.81,628.99,498.87,620.68,554.37,708.24
WC,Y03,salt,520.41,585.21,463.36,579.44,516.55,659.58
WCn,Y03,salt,0.926309606,0.93039635,0.928819131,0.933556744,0.931778415,0.931294476
dGP,Y03,T0,NA,NA,NA,NA,NA,NA
GPF,Y03,T0,NA,NA,NA,NA,NA,NA
GPI,Y03,T0,189133,208814,247074,178139,214273,244210
L4A,Y03,T0,NA,NA,NA,NA,NA,NA
L4DM,Y03,T0,NA,NA,NA,NA,NA,NA
L4FM,Y03,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y03,T0,NA,NA,NA,NA,NA,NA
