Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
LeafSucculence,Y60,control,8.415417752,9.416968708,9.186597099,8.498082659,9.089338513,9.071154357
LeafVertLength,Y60,control,7.7674,7.3443,7.3613,8.3089,8.6135,9.2058
LK,Y60,control,159.027629,176.3707805,185.0787919,152.293808,142.554578,145.0625499
LNa,Y60,control,6.960805312,7.94784783,NA,7.583354224,5.647876616,6.760713335
RDM,Y60,control,13.19,9.71,8.58,5.3,9.48,12.2
RFM,Y60,control,282.51,183.23,169.13,119.97,195.65,240.96
RK,Y60,control,111.2060003,NA,107.7545936,NA,114.4115593,117.1533485
RL,Y60,control,27.5,25.7,36.6,28.5,27.6,32
RNa,Y60,control,12.58725679,12.18879668,10.93117409,11.07525944,11.11886985,NA
SDM,Y60,control,NA,53.63,55.98,43.88,56.63,62.58
SFM,Y60,control,1277.99,962.11,1008.75,844.46,1050.86,1210.19
SL,Y60,control,4.1,3.7,4,4.4,4.7,4.3
ST,Y60,control,2.25,2.11,2.14,NA,2.25,2.2
TDM,Y60,control,118.84,76.27,78.68,68.75,87.61,94.93
TFM,Y60,control,1560.5,1145.34,1177.88,964.43,1246.51,1451.15
WC,Y60,control,1441.66,1069.07,1099.2,895.68,1158.9,1356.22
WCn,Y60,control,0.923844921,0.93340842,0.933202024,0.92871437,0.929715766,0.934582917
dGP,Y60,salt,290580,234257,233494,378306,310960,257878
GPF,Y60,salt,531939,486516,525402,NA,516874,553026
GPI,Y60,salt,241359,252259,291908,247732,205914,295148
L4A,Y60,salt,2.6449,1.3468,0.8831,2.3692,2.4843,1.5022
L4DM,Y60,salt,2.94,1.61,1.14,2.75,2.89,2.06
L4FM,Y60,salt,22.47,9.95,6.6,18.78,21.29,11.98
LeafElongationFactor,Y60,salt,0.6935,0.6314,0.5026,0.6907,0.725,0.5116
LeafHorizWidth,Y60,salt,2.3472,1.6669,1.0716,2.0921,2.2452,1.4458
LeafPerimeter,Y60,salt,17.7707,12.3521,9.536,15.6926,16.1781,13.6728
LeafSucculence,Y60,salt,7.38402208,6.192456192,6.182765259,6.765996961,7.406512901,6.603647983
LeafVertLength,Y60,salt,3.3845,2.6399,2.1322,3.0291,3.0968,2.826
LK,Y60,salt,101.6385049,125.5995204,102.5641026,117.1241422,98.09782609,109.6270161
LNa,Y60,salt,176.6513057,264.3884892,184.0659341,192.7635683,233.1521739,178.4274194
RDM,Y60,salt,2.99,2.75,2.67,4.1,4.29,3.22
RFM,Y60,salt,34.36,43.9,30.49,67.32,56.1,41.31
RK,Y60,salt,55.78578259,53.94896719,52.48023005,32.26826953,35.51437946,49.22551851
RL,Y60,salt,12.6,14.9,9.9,16,16.8,10.6
RNa,Y60,salt,223.9400701,200.4860267,230.9489576,180.3226827,181.432156,225.7810449
SDM,Y60,salt,19.67,16.44,18.42,19.7,18.24,19.85
SFM,Y60,salt,254.39,209.41,210.47,278.52,244.51,236.67
SL,Y60,salt,2.6,2.6,2.3,3.2,3.1,2.3
ST,Y60,salt,1.43,1.36,1.17,1.3,1.26,1.1
TDM,Y60,salt,25.6,20.8,22.23,26.55,25.42,25.13
TFM,Y60,salt,288.75,253.31,240.96,345.84,300.61,277.98
WC,Y60,salt,263.15,232.51,218.73,319.29,275.19,252.85
WCn,Y60,salt,0.911341991,0.917887174,0.907744024,0.923230396,0.915438608,0.909597813
dGP,Y60,T0,NA,NA,NA,NA,NA,NA
GPF,Y60,T0,NA,NA,NA,NA,NA,NA
GPI,Y60,T0,360631,263424,239805,180925,332680,366701
L4A,Y60,T0,NA,NA,NA,NA,NA,NA
L4DM,Y60,T0,NA,NA,NA,NA,NA,NA
L4FM,Y60,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y60,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y60,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y60,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y60,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y60,T0,NA,NA,NA,NA,NA,NA
LK,Y60,T0,NA,NA,NA,NA,NA,NA
LNa,Y60,T0,NA,NA,NA,NA,NA,NA
RDM,Y60,T0,0.83,0.98,0.4,0.87,0.62,0.65
RFM,Y60,T0,18.8,14.82,7.58,16.74,9.3,18.01
RK,Y60,T0,NA,NA,NA,NA,NA,NA
RL,Y60,T0,11.8,10,7,14.5,9.1,8.5
RNa,Y60,T0,NA,NA,NA,NA,NA,NA
SDM,Y60,T0,9.83,7.24,5.48,4.98,6.73,7.69
SFM,Y60,T0,121.07,89.94,73.07,74.07,98.45,113.34
SL,Y60,T0,2.1,2,2,NA,1.7,1.6
ST,Y60,T0,1.02,0.97,1,0.82,0.92,0.99
TDM,Y60,T0,10.66,8.22,5.88,5.85,7.35,8.34
TFM,Y60,T0,139.87,104.76,80.65,90.81,107.75,131.35
WC,Y60,T0,129.21,96.54,74.77,84.96,100.4,123.01
WCn,Y60,T0,0.923786373,0.921534937,0.927092374,0.935579782,0.931786543,0.93650552
dGP,Y61,control,2122150,3214279,2693527,2742644,1723985,2210646
GPF,Y61,control,2451570,3590081,3149161,3145235,2013256,2479475
GPI,Y61,control,329420,375802,455634,402591,289271,268829
L4A,Y61,control,20.4417,20.8265,22.5838,22.5009,22.2925,19.0204
L4DM,Y61,control,17.98,17.55,23.09,22.12,19.52,16.43
L4FM,Y61,control,206.42,215.97,248.73,233.63,235.74,198.1
LeafElongationFactor,Y61,control,0.7593,0.647,0.6747,0.7483,0.7107,0.7831
LeafHorizWidth,Y61,control,7.0417,6.5145,6.6335,7.535,6.9397,6.8376
LeafPerimeter,Y61,control,62.2654,60.6923,67.8006,64.9262,68.9464,54.9241
LeafSucculence,Y61,control,9.218411385,9.527284949,9.991232653,9.400068442,9.699226197,9.551323842
LeafVertLength,Y61,control,9.2735,10.0688,9.8319,10.0688,9.7642,8.732
LK,Y61,control,115.9520272,103.0642072,109.6879986,110.1602761,97.12330034,108.163153
LNa,Y61,control,12.84228402,12.82632799,NA,12.85991206,12.27916011,13.59608081
RDM,Y61,control,9.09,9.21,13.33,13.33,8.28,8.43
RFM,Y61,control,230.79,211.05,346.33,335.38,205.91,193.92
RK,Y61,control,50.067659,56.97582243,NA,47.50815091,53.12958559,51.75481158
RL,Y61,control,29.2,17,21,25,20.5,25
RNa,Y61,control,7.397383852,13.30261593,12.02702703,14.12824096,10.55001771,8.410156882
SDM,Y61,control,41.68,62.29,71.47,68.42,51.49,45.1
SFM,Y61,control,872.77,1290.86,1370.7,1374.07,1210.62,985.06
SL,Y61,control,4.5,4.5,4,4.5,4,3.5
ST,Y61,control,1.84,1.6,1.9,2.01,1.48,1.5
TDM,Y61,control,68.75,89.05,107.89,103.87,79.29,69.96
TFM,Y61,control,1103.56,1501.91,1717.03,1709.45,1416.53,1178.98
WC,Y61,control,1034.81,1412.86,1609.14,1605.58,1337.24,1109.02
WCn,Y61,control,0.93770162,0.940708831,0.937164755,0.939237767,0.944025188,0.940660571
dGP,Y61,salt,390261,492038,598297,546476,727349,366246
GPF,Y61,salt,1047577,1012792,1149525,986484,1268862,937709
GPI,Y61,salt,NA,520754,551228,NA,541513,571463
L4A,Y61,salt,2.4138,1.8456,1.1542,4.9735,5.4689,5.2141
L4DM,Y61,salt,2.6,2.5,1.5,5.2,6.3,5.9
L4FM,Y61,salt,19.7,16.28,9.19,51.47,53.12,48.31
LeafElongationFactor,Y61,salt,0.4736,0.5859,0.4741,0.7268,0.7637,0.5834
LeafHorizWidth,Y61,salt,1.6669,1.9731,1.2757,3.1977,3.2827,2.8235
LeafPerimeter,Y61,salt,18.3533,14.3331,10.2351,25.2868,26.9765,26.9182
LeafSucculence,Y61,salt,7.084265474,7.466406589,6.662623462,9.30330753,8.561136609,8.133714351
LeafVertLength,Y61,salt,3.5199,3.3676,2.6907,4.3998,4.2983,4.8398
LK,Y61,salt,132.748538,136.4296081,121.2613784,76.29133348,95.68560444,111.6481962
LNa,Y61,salt,185.0877193,225.3265602,189.206762,286.2545926,273.2806493,279.4152323
RDM,Y61,salt,6.7,7,5.7,6.4,7.9,7.1
RFM,Y61,salt,121.52,109.47,95.33,110.13,143.68,100.72
RK,Y61,salt,74.29019335,78.36439934,74.0823385,70.1822038,65.03166888,80.43153172
RL,Y61,salt,17.5,12.5,12.5,15,13,13.5
RNa,Y61,salt,181.1531092,180.0526984,215.8875377,204.3767473,192.590956,190.664388
SDM,Y61,salt,50,43.36,37.94,37,40.4,37.7
SFM,Y61,salt,NA,594.19,515.85,579.78,596.73,549.13
SL,Y61,salt,4,3.5,4.5,3.4,3,4
ST,Y61,salt,1.42,1.56,1.45,1.6,1.31,1.44
TDM,Y61,salt,59.3,52.86,45.14,48.6,54.6,50.7
TFM,Y61,salt,800.82,703.66,611.18,689.91,740.41,649.85
WC,Y61,salt,741.52,650.8,566.04,641.31,685.81,599.15
WCn,Y61,salt,0.9259509,0.924878492,0.926142871,NA,0.926257074,NA
dGP,Y61,T0,NA,NA,NA,NA,NA,NA
GPF,Y61,T0,NA,NA,NA,NA,NA,NA
GPI,Y61,T0,358438,505833,482959,431767,440156,460325
L4A,Y61,T0,NA,NA,NA,NA,NA,NA
L4DM,Y61,T0,NA,NA,NA,NA,NA,NA
L4FM,Y61,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y61,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y61,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y61,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y61,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y61,T0,NA,NA,NA,NA,NA,NA
LK,Y61,T0,NA,NA,NA,NA,NA,NA
LNa,Y61,T0,NA,NA,NA,NA,NA,NA
RDM,Y61,T0,0.75,1.33,1.49,1.23,1.21,0.96
RFM,Y61,T0,NA,36.3,37.4,32.52,32.78,33.01
RK,Y61,T0,NA,NA,NA,NA,NA,NA
RL,Y61,T0,9.1,NA,10,10.4,10.7,9.1
RNa,Y61,T0,NA,NA,NA,NA,NA,NA
SDM,Y61,T0,NA,9.39,9.95,8.8,9.02,9.89
SFM,Y61,T0,NA,177.28,185.14,175.33,174.19,185.79
SL,Y61,T0,2.6,2.7,3,3.1,2.7,2.7
ST,Y61,T0,1.07,1.14,1.27,1.35,1.22,1.26
TDM,Y61,T0,NA,10.72,11.44,10.03,10.23,10.85
TFM,Y61,T0,NA,213.58,222.54,207.85,206.97,218.8
WC,Y61,T0,NA,202.86,211.1,197.82,196.74,207.95
WCn,Y61,T0,NA,0.949808034,0.948593511,0.951744046,0.950572547,0.950411335
dGP,Y62,control,2104374,1726803,2031678,1875574,2013882,NA
GPF,Y62,control,2271572,1863465,2191041,2023244,2167424,NA
GPI,Y62,control,167198,136662,159363,147670,153542,NA
L4A,Y62,control,15.2598,12.8722,15.1887,14.468,16.5862,19.5028
L4DM,Y62,control,16.42,12.62,17.6,11.98,16.6,22.27
L4FM,Y62,control,177.15,153.02,178.27,154.9,181.47,NA
LeafElongationFactor,Y62,control,0.7923,0.6967,0.7901,0.774,0.8209,0.6365
LeafHorizWidth,Y62,control,5.698,4.4564,5.562,5.0687,5.9872,6.2253
LeafPerimeter,Y62,control,43.1546,37.3864,41.7951,37.2505,41.7757,NA
LeafSucculence,Y62,control,10.53290345,10.90722643,10.57825884,9.878352226,9.940191243,10.56514962
LeafVertLength,Y62,control,7.192,6.3967,7.0397,6.549,7.2936,NA
LK,Y62,control,157.0957506,107.9059829,162.4447626,121.0467394,145.8725056,138.8012618
LNa,Y62,control,8.336962608,12.89173789,9.647102757,14.62356563,13.98071208,7.401116234
RDM,Y62,control,6.54,4.55,6.67,4.8,5.69,NA
RFM,Y62,control,111.46,102.25,157.27,104.08,99.53,202.59
RK,Y62,control,80.53755242,18.93551689,30.87649402,25.1813054,84.71867008,87.44909679
RL,Y62,control,22,20.1,16.9,23.7,19.2,27.5
RNa,Y62,control,16.10751048,8.955987718,8.964143426,9.719983884,16.0912191,18.11632035
SDM,Y62,control,44.13,39.8,50.2,37.41,40.44,NA
SFM,Y62,control,847.58,774.77,920.38,799.8,894.58,NA
SL,Y62,control,3.1,3,2.8,3.1,2.9,3.1
ST,Y62,control,1.94,2.05,2.13,2,2.05,NA
TDM,Y62,control,67.09,56.97,74.47,54.19,62.73,99.34
TFM,Y62,control,959.04,877.02,1077.65,903.88,994.11,NA
WC,Y62,control,891.95,820.05,1003.18,849.69,931.38,NA
WCn,Y62,control,0.930044628,0.93504139,0.930895931,0.940047351,0.936898331,0.930366393
dGP,Y62,salt,54248,53039,76720,129396,118936,NA
GPF,Y62,salt,222188,244381,243097,308869,293032,NA
GPI,Y62,salt,167940,191342,166377,179473,174096,NA
L4A,Y62,salt,1.2052,1.223,1.4467,1.2794,2.0226,2.9817
L4DM,Y62,salt,1.5,1.5,1.64,1.44,NA,NA
L4FM,Y62,salt,12.43,15.77,13.21,11.54,19.56,29.64
LeafElongationFactor,Y62,salt,0.7654,0.7852,0.6806,0.7339,0.7652,0.6539
LeafHorizWidth,Y62,salt,1.4118,1.2757,1.4628,1.5648,2.0071,2.0581
LeafPerimeter,Y62,salt,7.1665,6.8946,7.788,8.9145,11.2451,12.9736
LeafSucculence,Y62,salt,9.069034185,NA,7.997511578,7.894325465,8.583011965,NA
LeafVertLength,Y62,salt,1.8445,1.6246,2.1491,2.1322,2.623,3.1476
LK,Y62,salt,108.6459286,110.3714085,126.6205704,96.53465347,137.0967742,NA
LNa,Y62,salt,223.6962489,360.5466013,300.7778738,246.5346535,309.3317972,NA
RDM,Y62,salt,2.1,2.3,2.41,2.66,2.56,NA
RFM,Y62,salt,29.41,35.93,39.46,36.79,44.32,48.52
RK,Y62,salt,47.78469425,46.68450788,48.71794872,49.51655435,43.94157088,NA
RL,Y62,salt,12.3,13.5,13,14,14.1,NA
RNa,Y62,salt,195.8989381,179.8988998,172.7395412,200.7031937,170.0191571,175.3697893
SDM,Y62,salt,10.81,12.22,12.12,11.57,13.21,NA
SFM,Y62,salt,154.37,172.17,156.32,178.79,185.8,NA
SL,Y62,salt,3.1,2.7,2.4,2.4,3,2.5
ST,Y62,salt,1.25,1.12,1.11,1.21,1.19,1.09
TDM,Y62,salt,14.41,16.02,16.17,15.67,17.97,NA
TFM,Y62,salt,183.78,208.1,195.78,215.58,230.12,NA
WC,Y62,salt,169.37,192.08,179.61,199.91,212.15,NA
WCn,Y62,salt,0.921591033,0.92301778,0.917407294,NA,0.921910308,0.920660128
dGP,Y62,T0,NA,NA,NA,NA,NA,NA
GPF,Y62,T0,NA,NA,NA,NA,NA,NA
GPI,Y62,T0,161115,165094,169932,162940,198171,233142
L4A,Y62,T0,NA,NA,NA,NA,NA,NA
L4DM,Y62,T0,NA,NA,NA,NA,NA,NA
L4FM,Y62,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y62,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y62,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y62,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y62,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y62,T0,NA,NA,NA,NA,NA,NA
LK,Y62,T0,NA,NA,NA,NA,NA,NA
LNa,Y62,T0,NA,NA,NA,NA,NA,NA
RDM,Y62,T0,0.79,0.8,0.69,0.64,0.69,0.63
RFM,Y62,T0,9.19,10.72,11.5,11.33,14.12,15.54
RK,Y62,T0,NA,NA,NA,NA,NA,NA
RL,Y62,T0,9,NA,9,8,7.8,7
RNa,Y62,T0,NA,NA,NA,NA,NA,NA
SDM,Y62,T0,3.9,3.87,4.02,4.13,5.17,6.74
SFM,Y62,T0,61.25,59.01,66.87,66.98,72.42,NA
SL,Y62,T0,1.8,1.7,1.5,2,1.9,1.7
ST,Y62,T0,0.87,0.69,0.62,0.54,0.89,0.85
TDM,Y62,T0,4.69,4.67,4.71,4.77,5.86,7.37
TFM,Y62,T0,70.44,69.73,78.37,78.31,86.54,NA
WC,Y62,T0,65.75,65.06,73.66,73.54,80.68,NA
WCn,Y62,T0,0.933418512,0.933027391,0.939900472,0.939088239,0.932285648,0.933423668
dGP,Y63,control,521315,719543,1418751,2160458,1559127,1538061
GPF,Y63,control,621866,808475,1539495,2288474,1656987,1636975
GPI,Y63,control,100551,88932,120744,128016,97860,98914
L4A,Y63,control,7.4195,7.2341,8.9675,NA,NA,8.939
L4DM,Y63,control,5.7,5.35,7.9,11.55,4.46,7.73
L4FM,Y63,control,75.46,73.27,95.9,133.34,45,98.11
LeafElongationFactor,Y63,control,0.6884,0.9123,0.8458,0.6623,0.9599,0.7486
LeafHorizWidth,Y63,control,3.844,4.8476,4.9666,4.8306,4.3373,4.2693
LeafPerimeter,Y63,control,35.3083,34.7257,43.4071,48.4179,23.8302,39.6588
LeafSucculence,Y63,control,9.402250826,9.388866618,9.813214385,10.2566046,8.76616356,10.11075064
LeafVertLength,Y63,control,5.5844,5.3136,5.8721,NA,4.5183,5.7029
LK,Y63,control,126.8635321,131.0365135,94.31818182,76.77149191,129.5017267,115.6229254
LNa,Y63,control,10.60779817,9.57008245,15.56818182,16.66803514,14.80019734,10.78778491
RDM,Y63,control,3.24,3.14,4.95,NA,3.7,3.8
RFM,Y63,control,74.48,75.3,99.31,NA,95.31,93.91
RK,Y63,control,NA,60.2827051,51.92878338,63.75055229,18.5569261,43.8353124
RL,Y63,control,13.9,18.7,12.5,13.6,11.2,17.5
RNa,Y63,control,9.685569905,7.899113082,12.34633319,14.58057186,9.660517411,7.823770947
SDM,Y63,control,20.15,21.56,33.33,60.82,40.77,32.43
SFM,Y63,control,454.77,461.07,673.53,NA,679.66,665.4
SL,Y63,control,4.4,4,5.6,5,4.7,5
ST,Y63,control,1.91,1.89,2.13,2.36,2.06,2.17
TDM,Y63,control,29.09,30.05,46.18,NA,48.93,43.96
TFM,Y63,control,529.25,536.37,772.84,NA,774.97,759.31
WC,Y63,control,500.16,506.32,726.66,NA,726.04,715.35
WCn,Y63,control,0.945035427,0.943975241,0.940246364,0.934427977,0.936862072,0.942105332
dGP,Y63,salt,143654,127286,100009,196456,147244,175643
GPF,Y63,salt,245904,206684,231653,300841,253272,291271
GPI,Y63,salt,102250,NA,131644,104385,106028,115628
L4A,Y63,salt,1.8136,1.8347,1.4567,1.3312,1.5154,1.5963
L4DM,Y63,salt,1.77,1.78,1.21,1.07,1.45,1.6
L4FM,Y63,salt,18.49,18.21,12.95,12.6,14.53,15
LeafElongationFactor,Y63,salt,0.7732,0.6265,0.6797,0.7144,0.7939,0.777
LeafHorizWidth,Y63,salt,1.871,1.5478,1.5989,1.4628,1.854,1.854
LeafPerimeter,Y63,salt,12.3521,12.7599,10.7595,10.0021,11.4393,12.2744
LeafSucculence,Y63,salt,9.219232466,8.95514253,8.059312144,8.661358173,8.631384453,8.394412078
LeafVertLength,Y63,salt,2.4199,2.4707,2.3522,NA,2.3353,2.3861
LK,Y63,salt,NA,73.34144857,71.97614991,71.98612316,80.27522936,91.04477612
LNa,Y63,salt,354.3660287,349.6652465,224.0204429,270.5984389,256.8807339,259.7014925
RDM,Y63,salt,1.22,1.29,1.34,1.35,1.5,NA
RFM,Y63,salt,16.08,19.49,29.16,23.2,19,19.62
RK,Y63,salt,61.57469717,60.71428571,48.70596693,49.19908467,52,57.31225296
RL,Y63,salt,9,12,11.7,13.6,10.7,12.4
RNa,Y63,salt,220.0538358,228.2967033,186.0172538,209.382151,200.5714286,241.3890457
SDM,Y63,salt,7.03,7.42,9.06,8.41,8.23,9.03
SFM,Y63,salt,103.03,109.03,141.44,120.63,123.99,135.28
SL,Y63,salt,3,3,NA,2.8,3.1,2.4
ST,Y63,salt,NA,0.97,1.21,0.97,1.15,1.1
TDM,Y63,salt,10.02,10.49,11.61,10.83,11.18,12.54
TFM,Y63,salt,119.11,128.52,170.6,143.83,142.99,154.9
WC,Y63,salt,109.09,118.03,158.99,133,131.81,142.36
WCn,Y63,salt,0.915876081,0.918378462,0.931946073,0.924702774,0.921812714,0.919044545
dGP,Y63,T0,NA,NA,NA,NA,NA,NA
GPF,Y63,T0,NA,NA,NA,NA,NA,NA
GPI,Y63,T0,104870,106040,115148,111226,94012,97487
L4A,Y63,T0,NA,NA,NA,NA,NA,NA
L4DM,Y63,T0,NA,NA,NA,NA,NA,NA
L4FM,Y63,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y63,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y63,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y63,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y63,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y63,T0,NA,NA,NA,NA,NA,NA
LK,Y63,T0,NA,NA,NA,NA,NA,NA
LNa,Y63,T0,NA,NA,NA,NA,NA,NA
RDM,Y63,T0,0.14,0.42,0.21,0.32,0.45,0.39
RFM,Y63,T0,6.84,8.79,7.92,10.49,8.08,12.36
RK,Y63,T0,NA,NA,NA,NA,NA,NA
RL,Y63,T0,5.1,9,7,6.5,8.5,9.2
RNa,Y63,T0,NA,NA,NA,NA,NA,NA
SDM,Y63,T0,2.72,2.8,3.11,3.48,2.37,2.54
SFM,Y63,T0,39.11,39.96,46.35,49.55,36.41,38.74
SL,Y63,T0,2.3,2,2.5,2.7,2.3,1.6
ST,Y63,T0,0.79,0.72,0.68,0.8,0.79,0.8
TDM,Y63,T0,2.86,3.22,3.32,3.8,2.82,2.93
TFM,Y63,T0,45.95,48.75,54.27,60.04,44.49,51.1
WC,Y63,T0,43.09,45.53,50.95,56.24,41.67,48.17
WCn,Y63,T0,0.937758433,0.933948718,0.938824397,0.936708861,0.93661497,NA
dGP,Y64,control,1105633,1907901,1582825,1723284,1483280,2214919
GPF,Y64,control,1236912,2068956,1754728,1911809,1629729,2455436
GPI,Y64,control,131279,161055,171903,188525,146449,240517
L4A,Y64,control,13.1379,17.9318,16.5159,17.9819,15.4368,20.0644
L4DM,Y64,control,16.43,20.53,19.31,18.98,17.42,24.42
L4FM,Y64,control,191.12,238.41,217.34,225.15,201.79,264.44
LeafElongationFactor,Y64,control,0.7763,0.5886,0.6747,0.6521,0.7139,0.683
LeafHorizWidth,Y64,control,4.8476,4.4224,4.9666,4.9326,4.7115,NA
LeafPerimeter,Y64,control,52.2439,58.7307,57.7985,57.3324,55.9923,NA
LeafSucculence,Y64,control,NA,12.15048127,11.99026393,NA,11.94353752,11.96248081
LeafVertLength,Y64,control,6.2444,7.5136,7.3613,7.5643,6.5997,7.8689
LK,Y64,control,117.9231782,97.07178263,117.4064536,104.76791,106.8503553,133.7388551
LNa,Y64,control,12.65098174,14.15917019,14.61899712,14.74511326,15.26821066,NA
RDM,Y64,control,4.54,5.75,5.68,5.4,5.06,NA
RFM,Y64,control,99.41,106.78,122.61,121.16,109.28,NA
RK,Y64,control,54.81184779,37.11768782,65.85136406,28.07532827,64.28708501,NA
RL,Y64,control,18.6,19.5,19.6,19.2,21.7,22.2
RNa,Y64,control,11.64751766,17.12362665,15.69314975,13.13061507,15.78391863,13.40495318
SDM,Y64,control,31.77,45.45,39.89,43.31,38.64,NA
SFM,Y64,control,699.75,981.73,986.78,979.83,824.18,NA
SL,Y64,control,3.9,3.3,4.1,3.6,3.4,3.3
ST,Y64,control,2.05,2.3,2.21,2.38,2.08,2.5
TDM,Y64,control,52.74,71.73,64.88,67.69,61.12,NA
TFM,Y64,control,799.16,1088.51,1109.39,1100.99,933.46,NA
WC,Y64,control,746.42,1016.78,1044.51,1033.3,872.34,NA
WCn,Y64,control,0.934005706,0.934102581,0.94151741,0.938518969,0.934523172,0.933755815
dGP,Y64,salt,76129,222695,107348,216563,175563,27473
GPF,Y64,salt,260166,411930,302253,461569,389834,218319
GPI,Y64,salt,184037,189235,194905,245006,214271,190846
L4A,Y64,salt,0.6917,1.7046,1.6329,1.8977,1.5937,0.9366
L4DM,Y64,salt,0.7,2.21,2.37,2.57,2.27,0.9
L4FM,Y64,salt,5.95,16.58,17.16,18.33,16.12,8.64
LeafElongationFactor,Y64,salt,0.5502,0.5482,0.5297,NA,0.5766,0.5729
LeafHorizWidth,Y64,salt,0.8845,1.3267,1.3267,1.5478,1.2587,0.9695
LeafPerimeter,Y64,salt,5.6905,10.0798,10.4682,10.0798,10.0021,6.0207
LeafSucculence,Y64,salt,NA,8.430130236,9.057505052,8.304790009,8.690468721,8.263933376
LeafVertLength,Y64,salt,1.6076,2.4199,2.5045,2.3522,2.183,1.6922
LK,Y64,salt,117.6190476,172.2338205,160.9195402,161.4847716,138.9891697,104.9741602
LNa,Y64,salt,208.5714286,222.3382046,235.2941176,197.0177665,229.6028881,215.7622739
RDM,Y64,salt,2,3.5,2.95,3.79,3.6,2.51
RFM,Y64,salt,59.25,57.87,45.72,63.97,49.61,38.39
RK,Y64,salt,NA,43.59021519,42.78700023,44.3668993,43.57748316,40.27313266
RL,Y64,salt,11.3,NA,13.5,13.9,13.9,10.1
RNa,Y64,salt,NA,183.4651462,190.5541267,191.0933865,198.8698109,190.2173913
SDM,Y64,salt,11.63,15.9,14.09,17.73,15.65,11.77
SFM,Y64,salt,149.88,216.76,192.4,257.7,215.07,138.09
SL,Y64,salt,2.7,2.7,NA,3.1,2.7,2.7
ST,Y64,salt,1.31,1.32,1.21,1.41,1.27,1.22
TDM,Y64,salt,14.33,21.61,19.41,24.09,21.52,15.18
TFM,Y64,salt,209.13,274.63,238.12,321.67,264.68,176.48
WC,Y64,salt,194.8,253.02,218.71,297.58,243.16,161.3
WCn,Y64,salt,0.931478028,0.921312311,0.918486477,0.925109584,0.918694272,0.913984587
dGP,Y64,T0,NA,NA,NA,NA,NA,NA
GPF,Y64,T0,NA,NA,NA,NA,NA,NA
GPI,Y64,T0,167921,NA,162652,169833,166158,NA
L4A,Y64,T0,NA,NA,NA,NA,NA,NA
L4DM,Y64,T0,NA,NA,NA,NA,NA,NA
L4FM,Y64,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y64,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y64,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y64,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y64,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y64,T0,NA,NA,NA,NA,NA,NA
LK,Y64,T0,NA,NA,NA,NA,NA,NA
LNa,Y64,T0,NA,NA,NA,NA,NA,NA
RDM,Y64,T0,0.72,0.71,NA,0.63,0.64,0.67
RFM,Y64,T0,8.63,6.59,17.05,14.88,15.33,16.45
RK,Y64,T0,NA,NA,NA,NA,NA,NA
RL,Y64,T0,7.5,8.5,7.5,8,8,7
RNa,Y64,T0,NA,NA,NA,NA,NA,NA
SDM,Y64,T0,4.39,4.25,5.02,5.02,4.93,5.64
SFM,Y64,T0,69.98,64.4,75.64,75.99,80.44,84.93
SL,Y64,T0,2.6,2.6,2,2.5,2,2.5
ST,Y64,T0,0.74,0.76,0.84,0.65,0.84,0.61
TDM,Y64,T0,5.11,4.96,5.99,5.65,5.57,6.31
TFM,Y64,T0,78.61,70.99,92.69,90.87,95.77,101.38
WC,Y64,T0,73.5,66.03,86.7,85.22,90.2,95.07
WCn,Y64,T0,0.934995548,NA,0.935375984,0.937823264,0.941839825,0.937758927
dGP,Y65,control,1158249,1201807,846237,1047322,936982,NA
GPF,Y65,control,1279074,1314366,933911,1131851,1072287,NA
GPI,Y65,control,120825,112559,87674,84529,135305,132554
L4A,Y65,control,6.2319,8.9721,5.0834,6.9797,11.7497,11.2192
L4DM,Y65,control,4.74,9.1,3.8,5.6,9.04,10.75
L4FM,Y65,control,65.56,107.08,52.64,74.61,120.86,127.49
