Trait,AccessionNumber,AccessionName,rep1,rep2,rep3,rep4,rep5,rep6
LeafSucculence,Y06,LA0428,1.408670369,1.433650478,1.503014005,0.96235538,0.827952245,0.999929301
LeafPerimeter,Y06,LA0428,0.309442981,0.381516035,0.242144474,0.281118761,0.227475371,0.386319429
LeafVertLength,Y06,LA0428,0.437761891,0.414565187,0.370057841,0.406162581,0.350544766,0.495446913
LeafHorizWidth,Y06,LA0428,0.486842614,0.588532496,0.427600426,0.382717991,0.377271513,0.512330268
LeafElongationFactor,Y06,LA0428,1.112168487,NA,1.155537849,0.942268343,1.076219005,1.034121521
DG,Y07,LA0429,5,5,5,5,5,5
DL4,Y07,LA0429,11,11,11,11,11,NA
DH,Y07,LA0429,11,11,11,11,11,11
LN,Y07,LA0429,0.5,0.5,0.5,0.5,0.5,NA
RL,Y07,LA0429,0.759036145,2.111111111,3,1.252525253,1.5,0.361702128
SL,Y07,LA0429,0.512195122,0.337349398,0.479166667,0.552238806,0.337837838,0.616666667
ST,Y07,LA0429,-0.21399177,-0.288793103,-0.099206349,-0.29,NA,NA
RFM,Y07,LA0429,0.327401817,0.211032752,0.223936642,0.297486443,0.160587026,0.177442245
SFM,Y07,LA0429,0.214502753,0.223953428,0.283284953,0.308921346,0.112663308,0.338808983
TFM,Y07,LA0429,0.229106799,0.222436947,0.274841513,0.307472292,0.117811162,0.310217895
RDM,Y07,LA0429,0.366435386,0.319007264,0.302287582,0.249221184,0.223814774,0.319057816
SDM,Y07,LA0429,0.236671001,0.288673424,0.363426638,0.390140198,0.188458668,0.418052738
TDM,Y07,LA0429,0.243377969,0.282612872,0.326152472,0.34895658,0.187699586,0.378548896
WC,Y07,LA0429,0.228210457,0.218950368,0.271681446,0.305049512,0.114042445,0.305847938
WCn,Y07,LA0429,0.650824366,-0.320523573,-0.041575721,0.609911901,-1.257416519,NA
GPI,Y07,LA0429,1.152823306,1.169865235,1.284540388,1.435641117,1.067483652,1.071330428
GPF,Y07,LA0429,0.294319809,0.291439008,0.374777258,0.447717981,0.195187721,0.357100065
dGP,Y07,LA0429,0.238635713,0.230555359,0.264012879,0.356533535,NA,0.282952444
L4FM,Y07,LA0429,0.143981222,0.170121661,0.060334256,0.160135882,0.043636491,0.231381308
L4DM,Y07,LA0429,0.190973202,0.233384263,0.182910981,0.230734565,0.163097199,0.28100911
L4A,Y07,LA0429,0.189160586,0.200384183,NA,0.23263897,0.134120128,0.290788035
RNa,Y07,LA0429,NA,13.85574917,14.952235,14.26838625,13.70741804,16.35809857
RK,Y07,LA0429,0.434059904,0.578698524,0.773713474,0.725548254,0.774606432,NA
LNa,Y07,LA0429,13.29271203,13.24401033,24.932776,14.98042791,NA,13.19753605
LK,Y07,LA0429,0.91123684,0.794804012,2.446537802,0.810008679,2.799741784,0.930580547
LeafSucculence,Y07,LA0429,0.73521565,0.818146405,NA,0.659189856,NA,0.776825199
LeafPerimeter,Y07,LA0429,0.356946217,0.303303508,NA,0.398110671,0.236600033,0.382253282
LeafVertLength,Y07,LA0429,0.438845006,0.393765903,NA,0.488640179,0.353604921,0.504038186
LeafHorizWidth,Y07,LA0429,0.413620954,0.479414155,NA,0.536433897,0.428571429,0.604972959
LeafElongationFactor,Y07,LA0429,0.942462988,1.217310473,NA,1.097756132,1.211914588,1.200238176
DG,Y08,LA0434,6,6,6,6,6,6
DL4,Y08,LA0434,11,11,11,12,12,12
DH,Y08,LA0434,11,11,11,11,11,11
LN,Y08,LA0434,0.666666667,0.333333333,0.666666667,0.666666667,0.25,0.666666667
RL,Y08,LA0434,0.357142857,0.423076923,0.523809524,0.705882353,0.607361963,0.8
SL,Y08,LA0434,0.44,0.551724138,0.264705882,0.485714286,0.275862069,0.4
ST,Y08,LA0434,0.244444444,0.409395973,0.379746835,0.329842932,0.549618321,NA
RFM,Y08,LA0434,0.216972759,NA,0.184608647,0.215663672,0.160483496,0.181796601
SFM,Y08,LA0434,0.325699808,0.353692017,0.266457713,0.269016698,0.204691774,0.207671223
TFM,Y08,LA0434,0.309103225,0.341278776,0.24953281,0.25911051,0.196534271,0.203674367
RDM,Y08,LA0434,0.348484848,0.428011753,0.375751503,0.449676824,0.302308802,0.402312139
SDM,Y08,LA0434,0.376380221,0.438244221,0.315952105,0.303579067,0.254485431,0.316822926
TDM,Y08,LA0434,0.345257106,0.368560495,0.302192067,0.322742833,0.238241505,0.306261181
WC,Y08,LA0434,0.306579109,0.339220064,0.245986626,0.255131867,0.193891886,0.196952292
WCn,Y08,LA0434,0.46772932,-1.148172158,-0.23703244,-1.066109689,0.03725157,-1.817601307
GPI,Y08,LA0434,1.199772586,1.095161424,0.944900452,1.013350283,0.891214491,1.083788284
GPF,Y08,LA0434,0.578109627,0.393578852,0.478943616,0.248296343,NA,0.3349073
dGP,Y08,LA0434,0.468562152,0.304501952,0.390597272,0.188556271,NA,0.264424533
L4FM,Y08,LA0434,0.207877293,0.088810316,0.149020612,NA,0.137172076,0.195987416
L4DM,Y08,LA0434,0.248905109,0.127516779,0.204973118,0.32028754,0.140435835,0.229780396
L4A,Y08,LA0434,0.252355186,NA,0.186265059,0.332484765,0.136321822,0.216141559
RNa,Y08,LA0434,13.71710728,NA,17.6449193,16.04280097,14.88232956,16.87814923
RK,Y08,LA0434,1.33367638,1.660930331,1.523875948,1.447082181,1.420977422,1.932480277
LNa,Y08,LA0434,22.65636673,23.37163808,23.66098629,21.41987819,27.96249205,32.58523103
LK,Y08,LA0434,0.64501569,0.9787415,0.808455618,0.402241429,0.498317786,0.623970183
LeafSucculence,Y08,LA0434,0.804554247,NA,0.768421313,0.969463133,1.003816577,0.890095893
LeafPerimeter,Y08,LA0434,0.393092735,NA,0.360014923,0.40237487,0.260827694,0.335939951
LeafVertLength,Y08,LA0434,0.428884716,NA,0.379777384,0.460889772,0.410341314,0.364090382
LeafHorizWidth,Y08,LA0434,0.482324474,NA,0.360803046,0.576923077,0.228777836,0.430007643
LeafElongationFactor,Y08,LA0434,1.124676073,NA,0.950088863,1.25193352,NA,1.181008454
DG,Y09,LA0436,4,4,4,4,4,4
DL4,Y09,LA0436,12,13,14,15,29,29
DH,Y09,LA0436,11,11,11,11,11,11
LN,Y09,LA0436,0.25,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667
RL,Y09,LA0436,0.475308642,NA,0.341463415,0.503144654,0.275590551,0.322580645
SL,Y09,LA0436,0.256410256,1,0.782608696,0.130434783,0.411764706,0.692307692
ST,Y09,LA0436,0.038961039,0.433628319,0.245508982,0.438356164,0.173333333,0.257575758
RFM,Y09,LA0436,0.420663195,0.199941495,0.188668595,0.395459308,0.227236701,0.218440109
SFM,Y09,LA0436,0.210434301,0.234433506,0.230975147,0.241780514,0.133782475,0.165540643
TFM,Y09,LA0436,0.228628576,0.229433466,0.225779619,0.260280539,0.148862858,0.175019422
RDM,Y09,LA0436,0.820574163,0.509398496,NA,1.287330317,0.418103448,0.463087248
SDM,Y09,LA0436,0.414079687,0.328150134,0.423471664,0.391183295,0.32750533,0.401619819
TDM,Y09,LA0436,0.437313695,0.298972854,0.36723257,0.455072944,0.311925266,0.371727749
WC,Y09,LA0436,0.218775355,0.225167649,0.217930896,0.249871547,0.140001586,0.163863271
WCn,Y09,LA0436,-0.605875316,-0.565554675,0.062704027,-0.073885554,-4.838104401,-9.513982532
GPI,Y09,LA0436,NA,1.142444466,1.156984422,1.027783863,1.239872017,1.368790403
GPF,Y09,LA0436,0.149271602,0.385636544,0.261737592,0.507085925,0.161423955,0.306651493
dGP,Y09,LA0436,NA,0.278694476,0.162621298,0.427118071,0.028179665,0.095888618
L4FM,Y09,LA0436,0.23768289,0.082986643,0.284201506,0.322799523,0.153391516,0.205055292
L4DM,Y09,LA0436,0.382747069,0.113445378,0.318452381,0.3828125,0.211604096,0.24693746
L4A,Y09,LA0436,0.230740698,0.085326797,0.309418485,0.373252739,0.166394155,0.228582611
RNa,Y09,LA0436,21.49630135,24.03732504,17.91716706,16.66087876,26.44260574,18.12597166
RK,Y09,LA0436,2.761828947,0.995213365,3.135607987,1.701015163,1.228086437,1.227618159
LNa,Y09,LA0436,23.92007911,27.5783627,23.60463772,18.53276724,20.76763494,19.80727122
LK,Y09,LA0436,0.610667237,0.745465155,0.606393718,0.705939819,NA,0.724072534
LeafSucculence,Y09,LA0436,0.981816032,0.938620972,0.908579183,0.850767798,0.891053668,0.880777196
LeafPerimeter,Y09,LA0436,0.244357572,0.117718609,0.339445758,0.355201179,0.226151517,0.27656798
LeafVertLength,Y09,LA0436,0.390488981,NA,0.476295921,0.52125114,0.385933523,0.411767852
LeafHorizWidth,Y09,LA0436,0.471625735,0.257151085,0.551594615,0.491413448,0.334436506,0.444435905
